trace_id,span_id,parent_span_id,span_name,agent_name,kind,duration_ms,model,input_tokens,output_tokens,tool_name,quality_score,status
A001,s01,,router_agent,Router,INTERNAL,4200,,,,,,OK
A001,s02,s01,classify_query,,CLIENT,800,gpt-4o-mini,80,25,,,OK
A001,s03,s01,product_specialist,ProductSpec,INTERNAL,2800,,,,,,OK
A001,s04,s03,search_reasoning,,CLIENT,1200,gpt-4o,200,120,,,OK
A001,s05,s03,search_products,,CLIENT,300,,,,search_products,,OK
A001,s06,s03,format_response,,CLIENT,800,gpt-4o,180,90,,,OK
A001,s07,s01,reviewer,Reviewer,INTERNAL,500,,,,,0.95,OK
A001,s08,s07,quality_check,,CLIENT,400,gpt-4o-mini,150,30,,,OK
A002,s09,,router_agent,Router,INTERNAL,7500,,,,,,OK
A002,s10,s09,classify_query,,CLIENT,700,gpt-4o-mini,90,20,,,OK
A002,s11,s09,order_specialist,OrderSpec,INTERNAL,5800,,,,,,OK
A002,s12,s11,order_reasoning,,CLIENT,1500,gpt-4o,300,180,,,OK
A002,s13,s11,get_order_status,,CLIENT,400,,,,get_order_status,,OK
A002,s14,s11,get_shipping_info,,CLIENT,350,,,,get_shipping_info,,OK
A002,s15,s11,calculate_eta,,CLIENT,200,,,,calculate_eta,,OK
A002,s16,s11,format_response,,CLIENT,1000,gpt-4o,250,130,,,OK
A002,s17,s09,reviewer,Reviewer,INTERNAL,600,,,,,0.92,OK
A002,s18,s17,quality_check,,CLIENT,500,gpt-4o-mini,200,35,,,OK
A003,s19,,router_agent,Router,INTERNAL,9200,,,,,,OK
A003,s20,s19,classify_query,,CLIENT,900,gpt-4o-mini,120,30,,,OK
A003,s21,s19,support_specialist,SupportSpec,INTERNAL,6800,,,,,,OK
A003,s22,s21,complaint_reasoning,,CLIENT,2200,gpt-4o,400,250,,,OK
A003,s23,s21,get_customer_history,,CLIENT,500,,,,get_customer_history,,OK
A003,s24,s21,draft_response,,CLIENT,1800,gpt-4o,350,200,,,OK
A003,s25,s19,reviewer,Reviewer,INTERNAL,1200,,,,,0.78,OK
A003,s26,s25,quality_check,,CLIENT,600,gpt-4o-mini,250,40,,,OK
A003,s27,s25,sensitivity_check,,CLIENT,500,gpt-4o-mini,220,35,,,OK
A004,s28,,router_agent,Router,INTERNAL,2100,,,,,,OK
A004,s29,s28,classify_query,,CLIENT,600,gpt-4o-mini,70,15,,,OK
A004,s30,s28,faq_specialist,FAQSpec,INTERNAL,1300,,,,,,OK
A004,s31,s30,answer_query,,CLIENT,800,gpt-4o-mini,100,60,,,OK
A004,s32,s30,search_faq,,CLIENT,200,,,,search_faq,,OK
A005,s33,,router_agent,Router,INTERNAL,12500,,,,,,OK
A005,s34,s33,classify_query,,CLIENT,800,gpt-4o-mini,95,22,,,OK
A005,s35,s33,refund_specialist,RefundSpec,INTERNAL,5500,,,,,,OK
A005,s36,s35,refund_reasoning,,CLIENT,2000,gpt-4o,350,180,,,OK
A005,s37,s35,get_order_details,,CLIENT,300,,,,get_order_details,,OK
A005,s38,s35,check_refund_policy,,CLIENT,250,,,,check_refund_policy,,OK
A005,s39,s35,draft_response,,CLIENT,1500,gpt-4o,300,150,,,OK
A005,s40,s33,reviewer,Reviewer,INTERNAL,1500,,,,,0.45,ERROR
A005,s41,s40,quality_check,,CLIENT,700,gpt-4o-mini,200,45,,,OK
A005,s42,s33,refund_specialist_retry,RefundSpec,INTERNAL,3800,,,,,,OK
A005,s43,s42,revised_reasoning,,CLIENT,1800,gpt-4o,400,200,,,OK
A005,s44,s42,revised_response,,CLIENT,1200,gpt-4o,350,170,,,OK
A005,s45,s33,reviewer_retry,Reviewer,INTERNAL,600,,,,,0.85,OK
A005,s46,s45,quality_check,,CLIENT,500,gpt-4o-mini,220,40,,,OK
