interaction_id,timestamp,agent_type,action,data_classification,sensitivity_label,user_department,contains_pii,prompt_injection_detected,dlp_violation,audit_logged,risk_score
I01,2026-03-01T09:00:00Z,copilot,summarize_email,general,none,Engineering,false,false,false,true,low
I02,2026-03-01T09:15:00Z,copilot,draft_response,general,none,Engineering,false,false,false,true,low
I03,2026-03-01T09:30:00Z,custom_agent,query_customer_db,confidential,confidential,Support,true,false,false,true,medium
I04,2026-03-01T09:45:00Z,custom_agent,export_report,highly_confidential,highly_confidential,Finance,true,false,true,true,high
I05,2026-03-01T10:00:00Z,copilot,search_sharepoint,confidential,confidential,Legal,false,false,false,true,medium
I06,2026-03-01T10:15:00Z,custom_agent,process_refund,general,none,Support,true,false,false,true,low
I07,2026-03-01T10:30:00Z,copilot,summarize_document,highly_confidential,highly_confidential,Legal,false,true,false,true,critical
I08,2026-03-01T10:45:00Z,custom_agent,send_email,general,none,Marketing,false,false,false,true,low
I09,2026-03-01T11:00:00Z,copilot,analyze_spreadsheet,confidential,confidential,Finance,true,false,false,true,medium
I10,2026-03-01T11:15:00Z,custom_agent,query_hr_data,highly_confidential,highly_confidential,HR,true,false,true,true,critical
I11,2026-03-01T11:30:00Z,copilot,draft_presentation,general,none,Marketing,false,false,false,true,low
I12,2026-03-01T11:45:00Z,custom_agent,access_medical_records,highly_confidential,highly_confidential,HR,true,true,true,true,critical
I13,2026-03-01T12:00:00Z,copilot,search_teams_chat,confidential,confidential,Engineering,false,false,false,true,low
I14,2026-03-01T12:15:00Z,custom_agent,bulk_data_export,highly_confidential,highly_confidential,Analytics,true,false,true,true,critical
I15,2026-03-01T12:30:00Z,copilot,summarize_meeting,general,none,Sales,false,false,false,true,low
I16,2026-03-01T12:45:00Z,custom_agent,update_crm,confidential,confidential,Sales,true,false,false,true,medium
I17,2026-03-01T13:00:00Z,copilot,generate_code,general,none,Engineering,false,false,false,true,low
I18,2026-03-01T13:15:00Z,custom_agent,query_financial_db,highly_confidential,highly_confidential,Finance,true,false,false,true,high
I19,2026-03-01T13:30:00Z,copilot,translate_document,confidential,confidential,Legal,false,false,false,true,medium
I20,2026-03-01T13:45:00Z,custom_agent,delete_records,highly_confidential,highly_confidential,Operations,false,true,true,true,critical
